# szkennelt pontfelho, gomb
-1.0052000 0.7329000 66.5757000
-1.0052000 0.7369000 66.5446000
-1.0051000 0.6952000 66.6918000
-1.0051000 0.7328000 66.5646000
-1.0051000 0.7760000 66.5602000
-1.0050000 0.7327000 66.5721000
-1.0049000 0.7326000 66.5796000
-1.0049000 0.7328000 66.5572000
-1.0048000 0.6836000 66.6459000
-1.0047000 0.6873000 66.6764000
-1.0047000 0.7396000 66.7205000
-1.0046000 0.7316000 66.7187000
-1.0046000 0.7324000 66.5686000
-1.0046000 0.7516000 66.7216000
-1.0045000 0.7326000 66.5309000
-1.0044000 0.7023000 66.7008000
-1.0044000 0.7755000 66.5568000
-1.0042000 0.6831000 66.6567000
-1.0042000 0.7132000 66.7089000
-1.0040000 0.6830000 66.6498000
-1.0040000 0.7361000 66.5377000
-1.0039000 0.7057000 66.7037000
-1.0037000 0.6868000 66.6314000
-1.0037000 0.7272000 66.7165000
-1.0036000 0.7092000 66.7065000
-1.0036000 0.7198000 66.7248000
-1.0036000 0.7548000 66.7212000
-1.0035000 0.6827000 66.6536000
-1.0035000 0.6903000 66.6830000
-1.0035000 0.6945000 66.6154000
-1.0035000 0.7163000 66.7119000
-1.0034000 0.6978000 66.6952000
-1.0032000 0.6862000 66.6737000
-1.0032000 0.7020000 66.6065000
-1.0030000 0.7423000 66.7205000
-1.0029000 0.6937000 66.6894000
-1.0028000 0.7352000 66.5346000
-1.0024000 0.6857000 66.6706000
-1.0023000 0.7339000 66.7189000
-1.0023000 0.7389000 66.5414000
-1.0022000 0.6857000 66.6358000
-1.0021000 0.6893000 66.6803000
-1.0021000 0.6974000 66.6116000
-1.0018000 0.6893000 66.6244000
-1.0016000 0.7220000 66.7147000
-1.0016000 0.7333000 66.7261000
-1.0015000 0.6851000 66.6676000
-1.0015000 0.7004000 66.6987000
-1.0015000 0.7341000 66.5694000
-1.0015000 0.7383000 66.5380000
-1.0013000 0.7039000 66.7014000
-1.0013000 0.7183000 66.7121000
-1.0013000 0.7262000 66.5864000
-1.0013000 0.7341000 66.5507000
-1.0012000 0.7341000 66.5318000
-1.0011000 0.6963000 66.6928000
-1.0011000 0.7379000 66.5459000
-1.0010000 0.7337000 66.5734000
-1.0009000 0.6923000 66.6869000
-1.0009000 0.7336000 66.5660000
-1.0009000 0.7378000 66.5346000
-1.0007000 0.7565000 66.7217000
-1.0006000 0.6846000 66.6401000
-1.0006000 0.7106000 66.7071000
-1.0006000 0.7446000 66.7207000
-1.0005000 0.6845000 66.6646000
-1.0005000 0.7334000 66.5550000
-1.0004000 0.6881000 66.6776000
-1.0004000 0.7333000 66.5625000
-1.0003000 0.7140000 66.7099000
-1.0002000 0.7332000 66.5589000
-1.0001000 0.7598000 66.7212000
-1.0000000 0.7329000 66.5777000
-1.0000000 0.7361000 66.7191000
-0.9999000 0.7066000 66.7047000
-0.9999000 0.7282000 66.7173000
-0.9997000 0.6991000 66.6961000
-0.9996000 0.7329000 66.5290000
-0.9996000 0.7717000 66.5710000
-0.9993000 0.6836000 66.6617000
-0.9993000 0.6837000 66.6443000
-0.9993000 0.6837000 66.6478000
-0.9992000 0.6836000 66.6548000
-0.9991000 0.6835000 66.6514000
-0.9991000 0.6835000 66.6583000
-0.9991000 0.6911000 66.6843000
-0.9990000 0.6874000 66.6295000
-0.9989000 0.6871000 66.6749000
-0.9989000 0.7238000 66.7151000
-0.9988000 0.6912000 66.6215000
-0.9987000 0.7021000 66.6992000
-0.9987000 0.7402000 66.5425000
-0.9986000 0.6946000 66.6905000
-0.9986000 0.7471000 66.7207000
-0.9984000 0.7317000 66.5823000
-0.9983000 0.6867000 66.6717000
-0.9983000 0.7196000 66.7127000
-0.9982000 0.7359000 66.5325000
-0.9980000 0.7397000 66.5466000
-0.9979000 0.7307000 66.7174000
-0.9978000 0.7385000 66.7193000
-0.9977000 0.7086000 66.7049000
-0.9975000 0.6862000 66.6686000
-0.9975000 0.7049000 66.7024000
-0.9975000 0.7393000 66.5394000
-0.9974000 0.6900000 66.6816000
-0.9974000 0.7154000 66.7104000
-0.9974000 0.7352000 66.5519000
-0.9973000 0.6862000 66.6339000
-0.9973000 0.6937000 66.6877000
-0.9973000 0.7118000 66.7078000
-0.9972000 0.7499000 66.7206000
-0.9971000 0.6973000 66.6938000
-0.9971000 0.7349000 66.5596000
-0.9970000 0.7349000 66.5559000
-0.9968000 0.7346000 66.5710000
-0.9968000 0.7346000 66.5747000
-0.9968000 0.7388000 66.5360000
-0.9963000 0.6856000 66.6379000
-0.9963000 0.7342000 66.5787000
-0.9963000 0.7343000 66.5638000
-0.9963000 0.7343000 66.5676000
-0.9961000 0.6929000 66.6848000
-0.9961000 0.6932000 66.6184000
-0.9961000 0.7003000 66.6970000
-0.9961000 0.7255000 66.7156000
-0.9959000 0.6851000 66.6660000
-0.9959000 0.6889000 66.6789000
-0.9959000 0.6891000 66.6266000
-0.9958000 0.7330000 66.7175000
-0.9956000 0.6850000 66.6418000
-0.9955000 0.7035000 66.6999000
-0.9955000 0.7379000 66.5330000
-0.9955000 0.7601000 66.7224000
-0.9954000 0.7039000 66.6052000
-0.9953000 0.6961000 66.6912000
-0.9953000 0.7524000 66.7206000
-0.9952000 0.6964000 66.6144000
-0.9952000 0.7104000 66.7053000
-0.9952000 0.7211000 66.7133000
-0.9952000 0.7406000 66.7196000
-0.9951000 0.6846000 66.6525000
-0.9951000 0.6884000 66.6759000
-0.9951000 0.7067000 66.7027000
-0.9951000 0.7415000 66.5473000
-0.9950000 0.6846000 66.6629000
-0.9950000 0.7108000 66.6000000
-0.9950000 0.7173000 66.7108000
-0.9950000 0.7332000 66.5832000
-0.9949000 0.7253000 66.5890000
-0.9948000 0.6844000 66.6596000
-0.9948000 0.7413000 66.5436000
-0.9947000 0.7372000 66.5524000
-0.9946000 0.6843000 66.6458000
-0.9946000 0.6843000 66.6562000
-0.9946000 0.7413000 66.5362000
-0.9946000 0.7557000 66.7201000
-0.9945000 0.7134000 66.7083000
-0.9945000 0.7451000 66.5427000
-0.9945000 0.7451000 66.5465000
-0.9943000 0.6841000 66.6494000
-0.9942000 0.6878000 66.6728000
-0.9942000 0.7408000 66.5516000
-0.9942000 0.7409000 66.5402000
-0.9941000 0.6915000 66.6824000
-0.9939000 0.7277000 66.7158000
-0.9939000 0.7365000 66.5604000
-0.9939000 0.7368000 66.5301000
-0.9938000 0.6950000 66.6886000
-0.9938000 0.7364000 66.5642000
-0.9938000 0.7365000 66.5567000
-0.9938000 0.7365000 66.5679000
-0.9937000 0.6877000 66.6313000
-0.9935000 0.6985000 66.6947000
-0.9935000 0.6989000 66.6108000
-0.9935000 0.7361000 66.5792000
-0.9935000 0.7623000 66.7190000
-0.9934000 0.7361000 66.5719000
-0.9934000 0.7361000 66.5756000
-0.9933000 0.7432000 66.7196000
-0.9933000 0.7584000 66.7199000
-0.9932000 0.7697000 66.7176000
-0.9931000 0.7233000 66.7135000
-0.9930000 0.7657000 66.7185000
-0.9929000 0.6869000 66.6700000
-0.9929000 0.6871000 66.6352000
-0.9929000 0.7439000 66.5361000
-0.9928000 0.7439000 66.5399000
-0.9926000 0.7014000 66.6978000
-0.9926000 0.7050000 66.7004000
-0.9926000 0.7395000 66.5787000
-0.9926000 0.7731000 66.7171000
-0.9925000 0.7346000 66.7181000
-0.9924000 0.6906000 66.6240000
-0.9923000 0.6902000 66.6798000
-0.9923000 0.7394000 66.5565000
-0.9922000 0.6939000 66.6859000
-0.9922000 0.7082000 66.7033000
-0.9921000 0.7587000 66.5358000
-0.9920000 0.6863000 66.6670000
-0.9920000 0.7116000 66.7060000
-0.9920000 0.7188000 66.7113000
-0.9920000 0.7392000 66.5604000
-0.9918000 0.6863000 66.6393000
-0.9918000 0.6940000 66.6198000
-0.9918000 0.7150000 66.7088000
-0.9918000 0.7390000 66.5642000
-0.9918000 0.7430000 66.5519000
-0.9917000 0.7300000 66.7159000
-0.9917000 0.7388000 66.5755000
-0.9917000 0.7805000 66.7123000
-0.9916000 0.6971000 66.6922000
-0.9916000 0.7545000 66.5449000
-0.9916000 0.7582000 66.5438000
-0.9916000 0.7583000 66.5400000
-0.9916000 0.7621000 66.5312000
-0.9915000 0.7346000 66.5841000
-0.9915000 0.7458000 66.7196000
-0.9915000 0.7469000 66.5358000
-0.9914000 0.7387000 66.5682000
-0.9913000 0.7466000 66.5435000
-0.9912000 0.6895000 66.6769000
-0.9912000 0.7385000 66.5721000
-0.9912000 0.7465000 66.5474000
-0.9912000 0.7466000 66.5397000
-0.9912000 0.7504000 66.5387000
-0.9912000 0.7504000 66.5425000
-0.9912000 0.7881000 66.7073000
-0.9911000 0.7542000 66.5376000
-0.9910000 0.6856000 66.6641000
-0.9910000 0.7375000 66.7180000
-0.9910000 0.7383000 66.5833000
-0.9910000 0.7502000 66.5464000
-0.9910000 0.7577000 66.5480000
-0.9909000 0.7503000 66.5350000
-0.9908000 0.6856000 66.6433000
-0.9908000 0.6930000 66.6831000
-0.9908000 0.7539000 66.5416000
-0.9907000 0.7576000 66.5329000
-0.9905000 0.6853000 66.6609000
-0.9905000 0.7000000 66.6953000
-0.9905000 0.7253000 66.7138000
-0.9905000 0.7488000 66.7192000
-0.9903000 0.7034000 66.6981000
-0.9903000 0.7419000 66.5565000
-0.9902000 0.6888000 66.6739000
-0.9902000 0.6962000 66.6894000
-0.9902000 0.7418000 66.5603000
-0.9902000 0.7535000 66.5343000
-0.9901000 0.6890000 66.6287000
-0.9900000 0.6850000 66.6576000
-0.9899000 0.6849000 66.6542000
-0.9899000 0.7210000 66.7115000
-0.9899000 0.7521000 66.7187000
-0.9898000 0.6849000 66.6473000
-0.9898000 0.7594000 66.7241000
-0.9896000 0.7134000 66.7064000
-0.9896000 0.7413000 66.5682000
-0.9896000 0.7454000 66.5331000
-0.9895000 0.6847000 66.6509000
-0.9895000 0.7412000 66.5645000
-0.9895000 0.7566000 66.5527000
-0.9894000 0.6883000 66.6709000
-0.9894000 0.6993000 66.6924000
-0.9894000 0.7169000 66.7091000
-0.9893000 0.7527000 66.5501000
-0.9893000 0.7600000 66.5668000
-0.9892000 0.6919000 66.6804000
-0.9891000 0.7060000 66.7013000
-0.9891000 0.7400000 66.7180000
-0.9890000 0.7095000 66.7040000
-0.9890000 0.7408000 66.5723000
-0.9890000 0.7408000 66.5760000
-0.9890000 0.7408000 66.5796000
-0.9889000 0.7447000 66.5675000
-0.9889000 0.7598000 66.5633000
-0.9888000 0.6879000 66.6677000
-0.9888000 0.7447000 66.5526000
-0.9888000 0.7486000 66.5515000
-0.9887000 0.6880000 66.6330000
-0.9887000 0.6918000 66.6250000
-0.9887000 0.7246000 66.5915000
-0.9886000 0.7560000 66.5304000
-0.9885000 0.6950000 66.6868000
-0.9885000 0.6954000 66.6171000
-0.9885000 0.7026000 66.6081000
-0.9885000 0.7444000 66.5640000
-0.9885000 0.7445000 66.5603000
-0.9884000 0.7316000 66.7166000
-0.9883000 0.7521000 66.5317000
-0.9883000 0.7592000 66.5749000
-0.9882000 0.7442000 66.5716000
-0.9882000 0.7592000 66.5712000
-0.9881000 0.6911000 66.6776000
-0.9881000 0.6983000 66.6896000
-0.9881000 0.6987000 66.6129000
-0.9881000 0.7274000 66.7141000
-0.9881000 0.7518000 66.5546000
-0.9881000 0.7555000 66.5573000
-0.9880000 0.7441000 66.5568000
-0.9879000 0.7439000 66.5792000
-0.9878000 0.7016000 66.6958000
-0.9877000 0.6872000 66.6648000
-0.9877000 0.7437000 66.5757000
-0.9877000 0.7541000 66.7189000
-0.9877000 0.7551000 66.5651000
-0.9877000 0.7552000 66.5613000
-0.9876000 0.7550000 66.5726000
-0.9876000 0.7578000 66.7182000
-0.9876000 0.7586000 66.5790000
-0.9875000 0.7474000 66.5673000
-0.9874000 0.7549000 66.5690000
-0.9873000 0.6870000 66.6372000
-0.9873000 0.7048000 66.6987000
-0.9872000 0.7347000 66.7163000
-0.9872000 0.7547000 66.5765000
-0.9872000 0.7585000 66.5605000
-0.9871000 0.6867000 66.6617000
-0.9871000 0.7153000 66.7067000
-0.9871000 0.7159000 66.5980000
-0.9871000 0.7472000 66.5638000
-0.9871000 0.7509000 66.5776000
-0.9870000 0.7081000 66.7015000
-0.9870000 0.7509000 66.5665000
-0.9869000 0.6939000 66.6842000
-0.9869000 0.7423000 66.7182000
-0.9869000 0.7471000 66.5564000
-0.9868000 0.6866000 66.6410000
-0.9868000 0.7225000 66.7121000
-0.9868000 0.7391000 66.5846000
-0.9868000 0.7469000 66.5714000
-0.9868000 0.7507000 66.5704000
-0.9867000 0.6865000 66.6446000
